flat,park_dist,num_park_2km
158 WOODLANDS ST 13,0.5663200943274426,3
136 BT BATOK WEST AVE 6,1.4378338314097985,5
232 ANG MO KIO AVE 3,0.5014475202399253,27
108 LOR 1 TOA PAYOH,0.8910569626892512,12
756 CHOA CHU KANG NTH 5,0.48069474310451793,2
572 PASIR RIS ST 53,0.5242428842809951,6
855 JURONG WEST ST 81,0.7618472631562598,4
619 JURONG WEST ST 65,0.8973494933866171,5
418 BEDOK NTH AVE 2,1.0423253910642984,21
516 WEST COAST RD,0.19835268323626512,10
313 TAMPINES ST 33,0.7829662792979276,12
411 SAUJANA RD,1.1940576179278812,10
530 ANG MO KIO AVE 10,0.6042973432913591,27
618 WOODLANDS AVE 4,1.9644227685096056,2
484 ADMIRALTY LINK,1.7309909689994196,1
205 TAMPINES ST 21,1.1209237753726642,11
133 YISHUN ST 11,0.7361067767046071,7
412A FERNVALE LINK,0.4185540524768996,15
59 MARINE TER,0.5385447033984082,15
454 JURONG WEST ST 42,1.2054630639431987,4
17A TELOK BLANGAH CRES,0.4423476695957434,6
716 BEDOK RESERVOIR RD,0.24708819431110823,9
139B LOR 1A TOA PAYOH,0.8165621813608527,12
148 WOODLANDS ST 13,0.500541973241379,4
102 ANG MO KIO AVE 3,0.22934128174586407,30
181 PASIR RIS ST 11,0.5833373076359507,9
672A KLANG LANE,0.2563809794697917,22
13 EUNOS CRES,0.9371149128611286,13
494 JURONG WEST ST 41,1.2576848118260915,3
233 COMPASSVALE WALK,0.38451411857167517,2
974 JURONG WEST ST 93,0.24260603847040255,4
435 YISHUN AVE 6,0.6192578195256537,2
633 BEDOK RESERVOIR RD,1.1106084221819512,7
899B WOODLANDS DR 50,1.7173747230323069,2
842 TAMPINES ST 82,1.2623439455727814,3
307B ANG MO KIO AVE 1,0.5681858083094331,25
142 BISHAN ST 12,0.977496798441461,15
12 UPP BOON KENG RD,0.994674717257464,11
178 EDGEFIELD PLAINS,0.8366781931852793,3
132 CLARENCE LANE,1.1239008324282147,6
288D BT BATOK ST 25,0.6856862839939544,20
174C EDGEDALE PLAINS,0.8034232490309494,3
229 PASIR RIS ST 21,1.0519835025341555,8
35 JLN RUMAH TINGGI,1.0000541881074345,7
335 TAMPINES ST 32,0.6504791692963052,13
410A FERNVALE RD,0.5543641521583619,18
325 CLEMENTI AVE 5,0.7736150283789563,18
584 WOODLANDS DR 16,1.897432334850018,1
653C JURONG WEST ST 61,0.5032618621330104,3
31 HOLLAND CL,0.5460204831613767,17
360 BT BATOK ST 31,0.7314869748340883,10
915 HOUGANG ST 91,0.9565132982282003,15
141 PASIR RIS ST 11,0.7783395098528383,9
312 TAMPINES ST 33,0.7941518565618988,12
617C PUNGGOL DR,0.32964269996351064,4
177 WOODLANDS ST 13,0.27091319382949897,3
328 SERANGOON AVE 3,0.3670913623332662,19
188B RIVERVALE DR,0.37368943289922046,3
239 LOR 1 TOA PAYOH,1.1499143339528002,14
724 JURONG WEST ST 72,0.8043333213811928,4
218 PETIR RD,0.23637185493706597,11
58 STRATHMORE AVE,1.574814450111062,4
310 TAMPINES ST 32,0.8905528474167933,13
662 YISHUN AVE 4,0.4897613139169802,6
894B WOODLANDS DR 50,1.1694080146425283,2
128 RIVERVALE ST,0.17246718773378142,3
750 WOODLANDS AVE 4,1.316208466116445,3
326 TAMPINES ST 32,0.7467940121762324,13
79 MARINE DR,0.37365927097747875,11
309 CANBERRA RD,0.9809379674816404,5
805 CHAI CHEE RD,0.2956226524392055,18
