address,LATITUDE,LONGITUDE
Junyuan Primary School,1.347891544,103.9396469
Dazhong Primary School,1.3590589919999998,103.7481615
Mayflower Primary School,1.376398733,103.8431658
Mayflower Primary School,1.376398737,103.8431658
Mayflower Primary School,1.376068156,103.8357467
Kheng Cheng School,1.337407636,103.8477611
New Town Primary School,1.299811388,103.7999648
East Spring Primary School,1.353041046,103.96179709999998
Beacon Primary School,1.384236677,103.77375440000002
Yio Chu Kang Primary School,1.377822709,103.8855687
Methodist Girls' School (Primary),1.377822709,103.8855687
Casuarina Primary School,1.372789016,103.9572913
Compassvale Primary School,1.3945298309999998,103.8978648
Haig Girls' School,1.3117720590000002,103.9026555
Wellington Primary School,1.451933871,103.82232059999998
Blangah Rise Primary School,1.276130304,103.8086392
CHIJ Primary (Toa Payoh),1.332818153,103.8419184
Mee Toh School,1.394853563,103.9085726
Seng Kang Primary School,1.389250457,103.8995279
Fairfield Methodist School (Primary),1.300798691,103.7856922
Teck Ghee Primary School,1.365200631,103.8510322
North Spring Primary School,1.387528236,103.903513
Sengkang Green Primary School,1.3928392509999998,103.8751588
Maha Bodhi School,1.328470866,103.9012987
Maha Bodhi School,1.328407723,103.9015276
Chongzheng Primary School,1.350594769,103.9512252
Hougang Primary School,1.378039861,103.8811662
White Sands Primary School,1.365517813,103.9609482
Opera Estate Primary School,1.319968755,103.9237527
Unity Primary School,1.40282339,103.7469934
Yangzheng Primary School,1.348972024,103.8683625
Valour Primary School,1.406871355,103.8989109
Evergreen Primary School,1.4441483590000002,103.7945453
South View Primary School,1.381766725,103.7472898
Cedar Primary School,1.335641223,103.8754913
Ngee Ann Primary School,1.305540153,103.9177554
Juying Primary School,1.338951451,103.6878331
Pei Hwa Presbyterian Primary School,1.338067044,103.7761915
Rulang Primary School,1.346844456,103.7190098
Greenwood Primary School,1.440110498,103.8046293
Oasis Primary School,1.40440927,103.9109964
Pei Chun Public School,1.337288933,103.8554735
