financial_year,town_or_estate,flat_type,sold_or_rental,no_of_dwelling_units
2015,Kallang/Whampoa,2-room,Rental Units,2024
2015,Kallang/Whampoa,2-room,Sold Units,506
2015,Kallang/Whampoa,3-room,Rental Units,8
2015,Kallang/Whampoa,3-room,Sold Units,13313
2015,Kallang/Whampoa,4-room,Rental Units,0
2015,Kallang/Whampoa,4-room,Sold Units,10178
2015,Kallang/Whampoa,5-room,Rental Units,0
2015,Kallang/Whampoa,5-room,Sold Units,5392
2015,Kallang/Whampoa,Executive,Sold Units,504
2015,Kallang/Whampoa,Studio Apartment,Rental Units,0
2015,Kallang/Whampoa,Studio Apartment,Sold Units,38
2015,Marine Parade,1-room,Rental Units,0
2015,Marine Parade,1-room,Sold Units,0
2015,Marine Parade,2-room,Rental Units,1324
2015,Marine Parade,2-room,Sold Units,26
2015,Marine Parade,3-room,Rental Units,1
2015,Marine Parade,3-room,Sold Units,3036
2015,Marine Parade,4-room,Rental Units,0
2015,Marine Parade,4-room,Sold Units,1798
2015,Marine Parade,5-room,Rental Units,0
2015,Marine Parade,5-room,Sold Units,1677
2015,Marine Parade,Executive,Sold Units,0
2015,Marine Parade,Studio Apartment,Rental Units,0
2015,Marine Parade,Studio Apartment,Sold Units,0
2015,Pasir Ris,1-room,Rental Units,176
2015,Pasir Ris,1-room,Sold Units,0
2015,Pasir Ris,2-room,Rental Units,44
2015,Pasir Ris,2-room,Sold Units,282
2015,Pasir Ris,3-room,Rental Units,1
2015,Pasir Ris,3-room,Sold Units,490
2015,Pasir Ris,4-room,Rental Units,0
2015,Pasir Ris,4-room,Sold Units,11641
2015,Pasir Ris,5-room,Rental Units,0
2015,Pasir Ris,5-room,Sold Units,9379
2015,Pasir Ris,Executive,Sold Units,7460
2015,Pasir Ris,Studio Apartment,Rental Units,0
2015,Pasir Ris,Studio Apartment,Sold Units,181
2015,Punggol,1-room,Rental Units,871
2015,Punggol,1-room,Sold Units,0
2015,Punggol,2-room,Rental Units,462
2015,Punggol,2-room,Sold Units,950
2015,Punggol,3-room,Rental Units,0
2015,Punggol,3-room,Sold Units,3639
2015,Punggol,4-room,Rental Units,0
2015,Punggol,4-room,Sold Units,19631
2015,Punggol,5-room,Rental Units,0
2015,Punggol,5-room,Sold Units,14612
2015,Punggol,Executive,Sold Units,1126
2015,Punggol,Studio Apartment,Rental Units,0
2015,Punggol,Studio Apartment,Sold Units,456
2015,Queenstown,1-room,Rental Units,575
2015,Queenstown,1-room,Sold Units,0
2015,Queenstown,2-room,Rental Units,1699
2015,Queenstown,2-room,Sold Units,1547
2015,Queenstown,3-room,Rental Units,49
2015,Queenstown,3-room,Sold Units,14161
2015,Queenstown,4-room,Rental Units,0
2015,Queenstown,4-room,Sold Units,8794
2015,Queenstown,5-room,Rental Units,0
2015,Queenstown,5-room,Sold Units,3972
2015,Queenstown,Executive,Sold Units,354
2015,Queenstown,Studio Apartment,Rental Units,0
2015,Queenstown,Studio Apartment,Sold Units,353
2015,Sembawang,1-room,Rental Units,321
2015,Sembawang,1-room,Sold Units,0
2015,Sembawang,2-room,Rental Units,371
2015,Sembawang,2-room,Sold Units,397
2015,Sembawang,3-room,Rental Units,0
2015,Sembawang,3-room,Sold Units,349
2015,Sembawang,4-room,Rental Units,0
2015,Sembawang,4-room,Sold Units,8447
2015,Sembawang,5-room,Rental Units,0
2015,Sembawang,5-room,Sold Units,7556
2015,Sembawang,Executive,Sold Units,2870
2015,Sembawang,Studio Apartment,Rental Units,0
2015,Sembawang,Studio Apartment,Sold Units,0
2015,Sengkang,1-room,Rental Units,685
2015,Sengkang,1-room,Sold Units,0
2015,Sengkang,2-room,Rental Units,391
2015,Sengkang,2-room,Sold Units,1088
2015,Sengkang,3-room,Rental Units,0
2015,Sengkang,3-room,Sold Units,3341
2015,Sengkang,4-room,Rental Units,0
2015,Sengkang,4-room,Sold Units,29405
2015,Sengkang,5-room,Rental Units,0
2015,Sengkang,5-room,Sold Units,23134
2015,Sengkang,Executive,Sold Units,4462
2015,Sengkang,Studio Apartment,Rental Units,0
2015,Sengkang,Studio Apartment,Sold Units,541
2015,Serangoon,1-room,Rental Units,272
2015,Serangoon,1-room,Sold Units,0
2015,Serangoon,2-room,Rental Units,247
2015,Serangoon,2-room,Sold Units,77
2015,Serangoon,3-room,Rental Units,0
2015,Serangoon,3-room,Sold Units,4543
2015,Serangoon,4-room,Rental Units,0
2015,Serangoon,4-room,Sold Units,10231
2015,Serangoon,5-room,Rental Units,0
2015,Serangoon,5-room,Sold Units,3753
2015,Serangoon,Executive,Sold Units,2365
2015,Serangoon,Studio Apartment,Rental Units,0
2015,Serangoon,Studio Apartment,Sold Units,0
2015,Tampines,1-room,Rental Units,775
2015,Tampines,1-room,Sold Units,0
2015,Tampines,2-room,Rental Units,387
2015,Tampines,2-room,Sold Units,353
2015,Tampines,3-room,Rental Units,14
2015,Tampines,3-room,Sold Units,13093
2015,Tampines,4-room,Rental Units,0
2015,Tampines,4-room,Sold Units,28631
2015,Tampines,5-room,Rental Units,0
2015,Tampines,5-room,Sold Units,17312
2015,Tampines,Executive,Sold Units,5846
2015,Tampines,Studio Apartment,Rental Units,0
2015,Tampines,Studio Apartment,Sold Units,649
2015,Toa Payoh,1-room,Rental Units,1168
2015,Toa Payoh,1-room,Sold Units,0
2015,Toa Payoh,2-room,Rental Units,2895
2015,Toa Payoh,2-room,Sold Units,759
2015,Toa Payoh,3-room,Rental Units,26
2015,Toa Payoh,3-room,Sold Units,15096
2015,Toa Payoh,4-room,Rental Units,0
2015,Toa Payoh,4-room,Sold Units,9756
2015,Toa Payoh,5-room,Rental Units,0
2015,Toa Payoh,5-room,Sold Units,6017
2015,Toa Payoh,Executive,Sold Units,854
2015,Toa Payoh,Studio Apartment,Rental Units,0
2015,Toa Payoh,Studio Apartment,Sold Units,300
2015,Woodlands,1-room,Rental Units,1603
2015,Woodlands,1-room,Sold Units,0
2015,Woodlands,2-room,Rental Units,851
2015,Woodlands,2-room,Sold Units,433
2015,Woodlands,3-room,Rental Units,5
2015,Woodlands,3-room,Sold Units,6343
2015,Woodlands,4-room,Rental Units,96
2015,Woodlands,4-room,Sold Units,27763
2015,Woodlands,5-room,Rental Units,0
2015,Woodlands,5-room,Sold Units,19639
2015,Woodlands,Executive,Sold Units,6191
2015,Woodlands,Studio Apartment,Rental Units,0
2015,Woodlands,Studio Apartment,Sold Units,855
2015,Yishun,1-room,Rental Units,1038
2015,Yishun,1-room,Sold Units,0
2015,Yishun,2-room,Rental Units,724
2015,Yishun,2-room,Sold Units,476
2015,Yishun,3-room,Rental Units,15
2015,Yishun,3-room,Sold Units,14515
2015,Yishun,4-room,Rental Units,0
2015,Yishun,4-room,Sold Units,28155
2015,Yishun,5-room,Rental Units,0
2015,Yishun,5-room,Sold Units,9169
2015,Yishun,Executive,Sold Units,2741
2015,Yishun,Studio Apartment,Rental Units,0
2015,Yishun,Studio Apartment,Sold Units,705
2016,Ang Mo Kio,1-room,Rental Units,1318
2016,Ang Mo Kio,1-room,Sold Units,0
2016,Ang Mo Kio,2-room,Rental Units,2855
2016,Ang Mo Kio,2-room,Sold Units,657
2016,Ang Mo Kio,3-room,Rental Units,12
2016,Ang Mo Kio,3-room,Sold Units,24351
2016,Ang Mo Kio,4-room,Rental Units,1
2016,Ang Mo Kio,4-room,Sold Units,14117
2016,Ang Mo Kio,5-room,Rental Units,0
2016,Ang Mo Kio,5-room,Sold Units,5947
2016,Ang Mo Kio,Executive,Sold Units,492
2016,Ang Mo Kio,Studio Apartment,Rental Units,0
2016,Ang Mo Kio,Studio Apartment,Sold Units,275
2016,Bedok,1-room,Rental Units,2530
2016,Bedok,1-room,Sold Units,0
2016,Bedok,2-room,Rental Units,1376
2016,Bedok,2-room,Sold Units,829
2016,Bedok,3-room,Rental Units,6
2016,Bedok,3-room,Sold Units,22631
2016,Bedok,4-room,Rental Units,0
2016,Bedok,4-room,Sold Units,20397
2016,Bedok,5-room,Rental Units,0
2016,Bedok,5-room,Sold Units,10390
2016,Bedok,Executive,Sold Units,2715
2016,Bedok,Studio Apartment,Rental Units,0
2016,Bedok,Studio Apartment,Sold Units,226
2016,Bishan,1-room,Rental Units,564
2016,Bishan,1-room,Sold Units,0
2016,Bishan,2-room,Rental Units,240
2016,Bishan,2-room,Sold Units,9
2016,Bishan,3-room,Rental Units,0
2016,Bishan,3-room,Sold Units,2357
2016,Bishan,4-room,Rental Units,0
2016,Bishan,4-room,Sold Units,9359
2016,Bishan,5-room,Rental Units,0
2016,Bishan,5-room,Sold Units,5716
2016,Bishan,Executive,Sold Units,1660
2016,Bishan,Studio Apartment,Rental Units,0
2016,Bishan,Studio Apartment,Sold Units,167
2016,Bukit Batok,1-room,Rental Units,385
2016,Bukit Batok,1-room,Sold Units,0
2016,Bukit Batok,2-room,Rental Units,239
2016,Bukit Batok,2-room,Sold Units,7
2016,Bukit Batok,3-room,Rental Units,1
2016,Bukit Batok,3-room,Sold Units,10487
2016,Bukit Batok,4-room,Rental Units,0
2016,Bukit Batok,4-room,Sold Units,14368
2016,Bukit Batok,5-room,Rental Units,0
2016,Bukit Batok,5-room,Sold Units,5335
2016,Bukit Batok,Executive,Sold Units,2733
2016,Bukit Batok,Studio Apartment,Rental Units,0
2016,Bukit Batok,Studio Apartment,Sold Units,173
2016,Bukit Merah,1-room,Rental Units,4476
2016,Bukit Merah,1-room,Sold Units,255
2016,Bukit Merah,2-room,Rental Units,4599
2016,Bukit Merah,2-room,Sold Units,1225
2016,Bukit Merah,3-room,Rental Units,162
2016,Bukit Merah,3-room,Sold Units,15929
2016,Bukit Merah,4-room,Rental Units,0
2016,Bukit Merah,4-room,Sold Units,15697
2016,Bukit Merah,5-room,Rental Units,2
2016,Bukit Merah,5-room,Sold Units,9476
2016,Bukit Merah,Executive,Sold Units,44
2016,Bukit Merah,Studio Apartment,Rental Units,0
2016,Bukit Merah,Studio Apartment,Sold Units,536
2016,Bukit Panjang,1-room,Rental Units,223
2016,Bukit Panjang,1-room,Sold Units,0
2016,Bukit Panjang,2-room,Rental Units,74
2016,Bukit Panjang,2-room,Sold Units,474
2016,Bukit Panjang,3-room,Rental Units,0
2016,Bukit Panjang,3-room,Sold Units,3678
2016,Bukit Panjang,4-room,Rental Units,0
2016,Bukit Panjang,4-room,Sold Units,16699
2016,Bukit Panjang,5-room,Rental Units,0
2016,Bukit Panjang,5-room,Sold Units,10425
2016,Bukit Panjang,Executive,Sold Units,3381
2016,Bukit Panjang,Studio Apartment,Rental Units,0
2016,Bukit Panjang,Studio Apartment,Sold Units,371
2016,Bukit Timah,1-room,Rental Units,0
2016,Bukit Timah,1-room,Sold Units,0
2016,Bukit Timah,2-room,Rental Units,0
2016,Bukit Timah,2-room,Sold Units,45
2016,Bukit Timah,3-room,Rental Units,0
2016,Bukit Timah,3-room,Sold Units,441
2016,Bukit Timah,4-room,Rental Units,0
2016,Bukit Timah,4-room,Sold Units,920
2016,Bukit Timah,5-room,Rental Units,0
2016,Bukit Timah,5-room,Sold Units,682
2016,Bukit Timah,Executive,Sold Units,380
2016,Bukit Timah,Studio Apartment,Rental Units,0
2016,Bukit Timah,Studio Apartment,Sold Units,87
2016,Central Area,1-room,Rental Units,2075
2016,Central Area,1-room,Sold Units,0
2016,Central Area,2-room,Rental Units,971
2016,Central Area,2-room,Sold Units,345
2016,Central Area,3-room,Rental Units,52
2016,Central Area,3-room,Sold Units,4489
2016,Central Area,4-room,Rental Units,14
2016,Central Area,4-room,Sold Units,3463
2016,Central Area,5-room,Rental Units,0
2016,Central Area,5-room,Sold Units,901
2016,Central Area,Executive,Sold Units,6
2016,Central Area,Studio Apartment,Rental Units,0
2016,Central Area,Studio Apartment,Sold Units,0
2016,Choa Chu Kang,1-room,Rental Units,565
2016,Choa Chu Kang,1-room,Sold Units,0
2016,Choa Chu Kang,2-room,Rental Units,813
2016,Choa Chu Kang,2-room,Sold Units,378
2016,Choa Chu Kang,3-room,Rental Units,0
2016,Choa Chu Kang,3-room,Sold Units,2463
2016,Choa Chu Kang,4-room,Rental Units,0
2016,Choa Chu Kang,4-room,Sold Units,23465
2016,Choa Chu Kang,5-room,Rental Units,2
2016,Choa Chu Kang,5-room,Sold Units,15950
2016,Choa Chu Kang,Executive,Sold Units,4762
2016,Choa Chu Kang,Studio Apartment,Rental Units,0
2016,Choa Chu Kang,Studio Apartment,Sold Units,502
2016,Clementi,1-room,Rental Units,474
2016,Clementi,1-room,Sold Units,0
2016,Clementi,2-room,Rental Units,467
2016,Clementi,2-room,Sold Units,249
2016,Clementi,3-room,Rental Units,7
2016,Clementi,3-room,Sold Units,12226
2016,Clementi,4-room,Rental Units,0
2016,Clementi,4-room,Sold Units,9050
2016,Clementi,5-room,Rental Units,0
2016,Clementi,5-room,Sold Units,3132
2016,Clementi,Executive,Sold Units,621
2016,Clementi,Studio Apartment,Rental Units,0
2016,Clementi,Studio Apartment,Sold Units,0
2016,Geylang,1-room,Rental Units,1231
2016,Geylang,1-room,Sold Units,0
2016,Geylang,2-room,Rental Units,2675
2016,Geylang,2-room,Sold Units,848
2016,Geylang,3-room,Rental Units,386
2016,Geylang,3-room,Sold Units,11320
2016,Geylang,4-room,Rental Units,0
2016,Geylang,4-room,Sold Units,9607
2016,Geylang,5-room,Rental Units,0
2016,Geylang,5-room,Sold Units,3591
2016,Geylang,Executive,Sold Units,830
2016,Geylang,Studio Apartment,Rental Units,0
2016,Geylang,Studio Apartment,Sold Units,216
2016,Hougang,1-room,Rental Units,532
2016,Hougang,1-room,Sold Units,0
2016,Hougang,2-room,Rental Units,624
2016,Hougang,2-room,Sold Units,442
2016,Hougang,3-room,Rental Units,24
2016,Hougang,3-room,Sold Units,10586
2016,Hougang,4-room,Rental Units,0
2016,Hougang,4-room,Sold Units,25842
2016,Hougang,5-room,Rental Units,0
2016,Hougang,5-room,Sold Units,10844
2016,Hougang,Executive,Sold Units,4310
2016,Hougang,Studio Apartment,Rental Units,0
2016,Hougang,Studio Apartment,Sold Units,658
2016,Jurong East,1-room,Rental Units,352
2016,Jurong East,1-room,Sold Units,0
2016,Jurong East,2-room,Rental Units,110
2016,Jurong East,2-room,Sold Units,317
2016,Jurong East,3-room,Rental Units,22
2016,Jurong East,3-room,Sold Units,6984
2016,Jurong East,4-room,Rental Units,0
2016,Jurong East,4-room,Sold Units,8188
2016,Jurong East,5-room,Rental Units,0
2016,Jurong East,5-room,Sold Units,5925
2016,Jurong East,Executive,Sold Units,1871
2016,Jurong East,Studio Apartment,Rental Units,0
2016,Jurong East,Studio Apartment,Sold Units,128
2016,Jurong West,1-room,Rental Units,540
2016,Jurong West,1-room,Sold Units,0
2016,Jurong West,2-room,Rental Units,1169
2016,Jurong West,2-room,Sold Units,663
2016,Jurong West,3-room,Rental Units,682
2016,Jurong West,3-room,Sold Units,12132
2016,Jurong West,4-room,Rental Units,0
2016,Jurong West,4-room,Sold Units,29193
2016,Jurong West,5-room,Rental Units,0
2016,Jurong West,5-room,Sold Units,21995
2016,Jurong West,Executive,Sold Units,6507
2016,Jurong West,Studio Apartment,Rental Units,0
2016,Jurong West,Studio Apartment,Sold Units,629
2016,Kallang/Whampoa,1-room,Rental Units,4401
2016,Kallang/Whampoa,1-room,Sold Units,0
2016,Kallang/Whampoa,2-room,Rental Units,2024
2016,Kallang/Whampoa,2-room,Sold Units,702
2016,Kallang/Whampoa,3-room,Rental Units,9
2016,Kallang/Whampoa,3-room,Sold Units,13955
2016,Kallang/Whampoa,4-room,Rental Units,0
2016,Kallang/Whampoa,4-room,Sold Units,11854
2016,Kallang/Whampoa,5-room,Rental Units,0
2016,Kallang/Whampoa,5-room,Sold Units,5477
2016,Kallang/Whampoa,Executive,Sold Units,504
2016,Kallang/Whampoa,Studio Apartment,Rental Units,0
2016,Kallang/Whampoa,Studio Apartment,Sold Units,268
2016,Marine Parade,1-room,Rental Units,0
2016,Marine Parade,1-room,Sold Units,0
2016,Marine Parade,2-room,Rental Units,1324
2016,Marine Parade,2-room,Sold Units,26
2016,Marine Parade,3-room,Rental Units,1
2016,Marine Parade,3-room,Sold Units,3036
2016,Marine Parade,4-room,Rental Units,0
2016,Marine Parade,4-room,Sold Units,1798
2016,Marine Parade,5-room,Rental Units,0
2016,Marine Parade,5-room,Sold Units,1677
2016,Marine Parade,Executive,Sold Units,0
2016,Marine Parade,Studio Apartment,Rental Units,0
2016,Marine Parade,Studio Apartment,Sold Units,0
2016,Pasir Ris,1-room,Rental Units,176
2016,Pasir Ris,1-room,Sold Units,0
2016,Pasir Ris,2-room,Rental Units,44
2016,Pasir Ris,2-room,Sold Units,286
2016,Pasir Ris,3-room,Rental Units,1
2016,Pasir Ris,3-room,Sold Units,490
2016,Pasir Ris,4-room,Rental Units,0
2016,Pasir Ris,4-room,Sold Units,11641
2016,Pasir Ris,5-room,Rental Units,0
2016,Pasir Ris,5-room,Sold Units,9379
2016,Pasir Ris,Executive,Sold Units,7460
2016,Pasir Ris,Studio Apartment,Rental Units,0
2016,Pasir Ris,Studio Apartment,Sold Units,177
2016,Punggol,1-room,Rental Units,871
2016,Punggol,1-room,Sold Units,0
2016,Punggol,2-room,Rental Units,462
2016,Punggol,2-room,Sold Units,971
2016,Punggol,3-room,Rental Units,0
2016,Punggol,3-room,Sold Units,3814
2016,Punggol,4-room,Rental Units,0
2016,Punggol,4-room,Sold Units,20406
2016,Punggol,5-room,Rental Units,0
2016,Punggol,5-room,Sold Units,15300
2016,Punggol,Executive,Sold Units,1126
2016,Punggol,Studio Apartment,Rental Units,0
2016,Punggol,Studio Apartment,Sold Units,435
2016,Queenstown,1-room,Rental Units,575
2016,Queenstown,1-room,Sold Units,0
2016,Queenstown,2-room,Rental Units,1699
2016,Queenstown,2-room,Sold Units,1554
2016,Queenstown,3-room,Rental Units,48
2016,Queenstown,3-room,Sold Units,14162
2016,Queenstown,4-room,Rental Units,0
2016,Queenstown,4-room,Sold Units,8794
2016,Queenstown,5-room,Rental Units,0
2016,Queenstown,5-room,Sold Units,3972
2016,Queenstown,Executive,Sold Units,354
2016,Queenstown,Studio Apartment,Rental Units,0
2016,Queenstown,Studio Apartment,Sold Units,346
2016,Sembawang,1-room,Rental Units,601
2016,Sembawang,1-room,Sold Units,0
2016,Sembawang,2-room,Rental Units,595
2016,Sembawang,2-room,Sold Units,589
2016,Sembawang,3-room,Rental Units,0
2016,Sembawang,3-room,Sold Units,504
2016,Sembawang,4-room,Rental Units,0
2016,Sembawang,4-room,Sold Units,9441
2016,Sembawang,5-room,Rental Units,0
2016,Sembawang,5-room,Sold Units,8272
2016,Sembawang,Executive,Sold Units,2870
2016,Sembawang,Studio Apartment,Rental Units,0
2016,Sembawang,Studio Apartment,Sold Units,0
2016,Sengkang,1-room,Rental Units,685
2016,Sengkang,1-room,Sold Units,0
2016,Sengkang,2-room,Rental Units,391
2016,Sengkang,2-room,Sold Units,1240
2016,Sengkang,3-room,Rental Units,0
2016,Sengkang,3-room,Sold Units,3737
2016,Sengkang,4-room,Rental Units,0
2016,Sengkang,4-room,Sold Units,30619
2016,Sengkang,5-room,Rental Units,0
2016,Sengkang,5-room,Sold Units,24069
2016,Sengkang,Executive,Sold Units,4462
2016,Sengkang,Studio Apartment,Rental Units,0
2016,Sengkang,Studio Apartment,Sold Units,778
2016,Serangoon,1-room,Rental Units,272
2016,Serangoon,1-room,Sold Units,0
2016,Serangoon,2-room,Rental Units,247
2016,Serangoon,2-room,Sold Units,77
2016,Serangoon,3-room,Rental Units,0
2016,Serangoon,3-room,Sold Units,4541
2016,Serangoon,4-room,Rental Units,0
2016,Serangoon,4-room,Sold Units,10231
2016,Serangoon,5-room,Rental Units,0
2016,Serangoon,5-room,Sold Units,3754
2016,Serangoon,Executive,Sold Units,2365
2016,Serangoon,Studio Apartment,Rental Units,0
2016,Serangoon,Studio Apartment,Sold Units,0
2016,Tampines,1-room,Rental Units,1075
2016,Tampines,1-room,Sold Units,0
2016,Tampines,2-room,Rental Units,597
2016,Tampines,2-room,Sold Units,368
2016,Tampines,3-room,Rental Units,14
2016,Tampines,3-room,Sold Units,13224
2016,Tampines,4-room,Rental Units,0
2016,Tampines,4-room,Sold Units,28840
2016,Tampines,5-room,Rental Units,0
2016,Tampines,5-room,Sold Units,17313
2016,Tampines,Executive,Sold Units,5846
2016,Tampines,Studio Apartment,Rental Units,0
2016,Tampines,Studio Apartment,Sold Units,634
2016,Toa Payoh,1-room,Rental Units,1168
2016,Toa Payoh,1-room,Sold Units,0
2016,Toa Payoh,2-room,Rental Units,2895
2016,Toa Payoh,2-room,Sold Units,773
2016,Toa Payoh,3-room,Rental Units,47
2016,Toa Payoh,3-room,Sold Units,15252
2016,Toa Payoh,4-room,Rental Units,0
2016,Toa Payoh,4-room,Sold Units,10066
2016,Toa Payoh,5-room,Rental Units,0
2016,Toa Payoh,5-room,Sold Units,6017
2016,Toa Payoh,Executive,Sold Units,854
2016,Toa Payoh,Studio Apartment,Rental Units,0
2016,Toa Payoh,Studio Apartment,Sold Units,286
2016,Woodlands,1-room,Rental Units,1824
2016,Woodlands,1-room,Sold Units,0
2016,Woodlands,2-room,Rental Units,1046
2016,Woodlands,2-room,Sold Units,475
2016,Woodlands,3-room,Rental Units,10
2016,Woodlands,3-room,Sold Units,6476
2016,Woodlands,4-room,Rental Units,96
2016,Woodlands,4-room,Sold Units,27947
2016,Woodlands,5-room,Rental Units,0
2016,Woodlands,5-room,Sold Units,19713
2016,Woodlands,Executive,Sold Units,6191
2016,Woodlands,Studio Apartment,Rental Units,0
2016,Woodlands,Studio Apartment,Sold Units,824
2016,Yishun,1-room,Rental Units,1038
2016,Yishun,1-room,Sold Units,0
2016,Yishun,2-room,Rental Units,724
2016,Yishun,2-room,Sold Units,690
2016,Yishun,3-room,Rental Units,9
2016,Yishun,3-room,Sold Units,15394
2016,Yishun,4-room,Rental Units,0
2016,Yishun,4-room,Sold Units,29657
2016,Yishun,5-room,Rental Units,0
2016,Yishun,5-room,Sold Units,9837
2016,Yishun,Executive,Sold Units,2741
2016,Yishun,Studio Apartment,Rental Units,0
2016,Yishun,Studio Apartment,Sold Units,814
2017,Ang Mo Kio,1-room,Rental Units,1318
2017,Ang Mo Kio,1-room,Sold Units,0
2017,Ang Mo Kio,2-room,Rental Units,2855
2017,Ang Mo Kio,2-room,Sold Units,771
2017,Ang Mo Kio,3-room,Rental Units,11
2017,Ang Mo Kio,3-room,Sold Units,24522
2017,Ang Mo Kio,4-room,Rental Units,1
2017,Ang Mo Kio,4-room,Sold Units,14480
2017,Ang Mo Kio,5-room,Rental Units,0
2017,Ang Mo Kio,5-room,Sold Units,5948
2017,Ang Mo Kio,Executive,Sold Units,495
2017,Ang Mo Kio,Studio Apartment,Rental Units,0
2017,Ang Mo Kio,Studio Apartment,Sold Units,332
2017,Bedok,1-room,Rental Units,2530
2017,Bedok,1-room,Sold Units,0
2017,Bedok,2-room,Rental Units,1376
2017,Bedok,2-room,Sold Units,833
2017,Bedok,3-room,Rental Units,6
2017,Bedok,3-room,Sold Units,22747
2017,Bedok,4-room,Rental Units,0
2017,Bedok,4-room,Sold Units,20901
2017,Bedok,5-room,Rental Units,0
2017,Bedok,5-room,Sold Units,10498
2017,Bedok,Executive,Sold Units,2715
2017,Bedok,Studio Apartment,Rental Units,0
2017,Bedok,Studio Apartment,Sold Units,222
2017,Bishan,1-room,Rental Units,564
2017,Bishan,1-room,Sold Units,0
2017,Bishan,2-room,Rental Units,240
2017,Bishan,2-room,Sold Units,14
2017,Bishan,3-room,Rental Units,0
2017,Bishan,3-room,Sold Units,2357
2017,Bishan,4-room,Rental Units,0
2017,Bishan,4-room,Sold Units,9359
2017,Bishan,5-room,Rental Units,0
2017,Bishan,5-room,Sold Units,5716
2017,Bishan,Executive,Sold Units,1660
2017,Bishan,Studio Apartment,Rental Units,0
2017,Bishan,Studio Apartment,Sold Units,162
2017,Bukit Batok,1-room,Rental Units,593
2017,Bukit Batok,1-room,Sold Units,0
2017,Bukit Batok,2-room,Rental Units,463
2017,Bukit Batok,2-room,Sold Units,1235
2017,Bukit Batok,3-room,Rental Units,1
2017,Bukit Batok,3-room,Sold Units,11385
2017,Bukit Batok,4-room,Rental Units,0
2017,Bukit Batok,4-room,Sold Units,16989
2017,Bukit Batok,5-room,Rental Units,0
2017,Bukit Batok,5-room,Sold Units,6958
2017,Bukit Batok,Executive,Sold Units,2733
2017,Bukit Batok,Studio Apartment,Rental Units,0
2017,Bukit Batok,Studio Apartment,Sold Units,255
2017,Bukit Merah,1-room,Rental Units,4476
2017,Bukit Merah,1-room,Sold Units,255
2017,Bukit Merah,2-room,Rental Units,4599
2017,Bukit Merah,2-room,Sold Units,1437
2017,Bukit Merah,3-room,Rental Units,165
2017,Bukit Merah,3-room,Sold Units,16518
2017,Bukit Merah,4-room,Rental Units,0
2017,Bukit Merah,4-room,Sold Units,16827
2017,Bukit Merah,5-room,Rental Units,2
2017,Bukit Merah,5-room,Sold Units,9477
2017,Bukit Merah,Executive,Sold Units,44
2017,Bukit Merah,Studio Apartment,Rental Units,0
2017,Bukit Merah,Studio Apartment,Sold Units,623
2017,Bukit Panjang,1-room,Rental Units,223
2017,Bukit Panjang,1-room,Sold Units,0
2017,Bukit Panjang,2-room,Rental Units,74
2017,Bukit Panjang,2-room,Sold Units,478
2017,Bukit Panjang,3-room,Rental Units,0
2017,Bukit Panjang,3-room,Sold Units,3678
2017,Bukit Panjang,4-room,Rental Units,0
2017,Bukit Panjang,4-room,Sold Units,16699
2017,Bukit Panjang,5-room,Rental Units,0
2017,Bukit Panjang,5-room,Sold Units,10425
2017,Bukit Panjang,Executive,Sold Units,3381
2017,Bukit Panjang,Studio Apartment,Rental Units,0
2017,Bukit Panjang,Studio Apartment,Sold Units,367
2017,Bukit Timah,1-room,Rental Units,0
2017,Bukit Timah,1-room,Sold Units,0
2017,Bukit Timah,2-room,Rental Units,0
2017,Bukit Timah,2-room,Sold Units,46
2017,Bukit Timah,3-room,Rental Units,0
2017,Bukit Timah,3-room,Sold Units,441
2017,Bukit Timah,4-room,Rental Units,0
2017,Bukit Timah,4-room,Sold Units,920
2017,Bukit Timah,5-room,Rental Units,0
2017,Bukit Timah,5-room,Sold Units,682
2017,Bukit Timah,Executive,Sold Units,380
2017,Bukit Timah,Studio Apartment,Rental Units,0
2017,Bukit Timah,Studio Apartment,Sold Units,86
2017,Central Area,1-room,Rental Units,2075
2017,Central Area,1-room,Sold Units,345
2017,Central Area,2-room,Rental Units,971
2017,Central Area,2-room,Sold Units,345
2017,Central Area,3-room,Rental Units,52
2017,Central Area,3-room,Sold Units,4216
2017,Central Area,4-room,Rental Units,14
2017,Central Area,4-room,Sold Units,3424
2017,Central Area,5-room,Rental Units,0
2017,Central Area,5-room,Sold Units,901
2017,Central Area,Executive,Sold Units,6
2017,Central Area,Studio Apartment,Rental Units,0
2017,Central Area,Studio Apartment,Sold Units,0
2017,Choa Chu Kang,1-room,Rental Units,565
2017,Choa Chu Kang,1-room,Sold Units,0
2017,Choa Chu Kang,2-room,Rental Units,813
2017,Choa Chu Kang,2-room,Sold Units,389
2017,Choa Chu Kang,3-room,Rental Units,0
2017,Choa Chu Kang,3-room,Sold Units,2463
2017,Choa Chu Kang,4-room,Rental Units,0
2017,Choa Chu Kang,4-room,Sold Units,23465
2017,Choa Chu Kang,5-room,Rental Units,2
2017,Choa Chu Kang,5-room,Sold Units,15950
2017,Choa Chu Kang,Executive,Sold Units,4762
2017,Choa Chu Kang,Studio Apartment,Rental Units,0
2017,Choa Chu Kang,Studio Apartment,Sold Units,491
2017,Clementi,1-room,Rental Units,474
2017,Clementi,1-room,Sold Units,0
2017,Clementi,2-room,Rental Units,467
2017,Clementi,2-room,Sold Units,303
2017,Clementi,3-room,Rental Units,7
