flat,mall,mall_dist,num_mall_2km
649 PUNGGOL CTRL,Punggol Plaza,0.4007646221178974,5
816 TAMPINES AVE 4,Our Tampines Hub,0.7002348897467958,5
411 HOUGANG AVE 10,Hougang Mall,0.2546452360735376,8
896A TAMPINES ST 81,Our Tampines Hub,1.0496305943672157,4
812 JURONG WEST ST 81,Gek Poh Shopping Centre,0.3815598095907984,4
520 HOUGANG AVE 6,Hougang Mall,0.4141545678567994,7
585 PASIR RIS ST 53,White Sands,0.42831097839533894,3
437 TAMPINES ST 43,Tampines 1,0.9508193090758592,7
608 BEDOK RESERVOIR RD,Djitsun Mall,1.9349977369557665,3
482 TAMPINES ST 43,Tampines 1,1.190779542082043,7
986C JURONG WEST ST 93,Pioneer Mall,0.5340377046160689,3
352 UBI AVE 1,Singapore Post Centre (Singpost Centre),0.8715967067275676,4
514 HOUGANG AVE 10,Hougang Mall,0.5055076870419722,6
308 HOUGANG AVE 5,The Midtown,0.4118075601464154,4
2 GHIM MOH RD,The Star Vista,0.619375991467897,2
663 JLN DAMAI,Singapore Post Centre (Singpost Centre),2.3438560049201653,0
457 CHOA CHU KANG AVE 4,Sunshine Place,0.3252088810948448,5
218 BT BATOK ST 21,West Mall,0.6587226111583824,5
41 CIRCUIT RD,Paya Lebar Square,1.1741292203406168,4
676A CHOA CHU KANG CRES,Yew Tee Square,0.4394153568594697,4
877 WOODLANDS AVE 9,Woodlands Mart,0.7635678564317858,5
351 TAMPINES ST 33,Loyang Point,1.5021086621839843,2
157 TAMPINES ST 12,Tampines Mall,0.17011425810752953,5
225 JURONG EAST ST 21,JCube,0.9997305723324922,5
125 HOUGANG AVE 1,Heartland Mall,0.8025270833546954,3
238 LOR 1 TOA PAYOH,HDB Hub,1.0184597718116413,4
613 YISHUN ST 61,Wisteria Mall,0.7007938872601651,3
183 JELEBU RD,Bukit Panjang Plaza,0.14129839076513726,7
443 HOUGANG AVE 8,Hougang Green Shopping Mall,0.5961709589856712,8
107 TOWNER RD,City Square Mall,0.9499230956154772,9
662 CHOA CHU KANG CRES,Yew Tee Square,0.5601661594584477,4
986B BUANGKOK CRES,Buangkok Square,0.28213932896424004,7
415 TAMPINES ST 41,Tampines 1,0.6030702892347743,6
972 HOUGANG ST 91,Hougang 1,0.2823308421127241,7
158 WOODLANDS ST 13,Marsiling Mall,0.5557191302539197,2
136 BT BATOK WEST AVE 6,West Mall,0.47007689007496156,3
232 ANG MO KIO AVE 3,Broadway Plaza,1.0544552608018234,3
108 LOR 1 TOA PAYOH,Junction 8,0.9614781417876828,4
756 CHOA CHU KANG NTH 5,Limbang Shopping Centre,0.2781743834463682,7
572 PASIR RIS ST 53,White Sands,0.47644182741487134,3
855 JURONG WEST ST 81,Gek Poh Shopping Centre,0.30963299758106805,4
619 JURONG WEST ST 65,Pioneer Mall,0.3205386669016199,4
418 BEDOK NTH AVE 2,Djitsun Mall,0.2817846929780859,5
516 WEST COAST RD,321 Clementi,0.6590836185129388,5
313 TAMPINES ST 33,Eastpoint Mall,1.14332075417743,6
411 SAUJANA RD,Greenridge Shopping Centre,0.29592334504139645,6
530 ANG MO KIO AVE 10,AMK Hub,0.8417541129572202,2
618 WOODLANDS AVE 4,888 Plaza,0.4142551020267837,5
484 ADMIRALTY LINK,Sun Plaza,1.081734860902572,2
205 TAMPINES ST 21,Tampines 1,0.8120295825907842,5
133 YISHUN ST 11,Northpoint City,0.765880071706157,5
412A FERNVALE LINK,The Seletar Mall,0.3146408990820859,6
59 MARINE TER,112 Katong,1.0752150524274502,7
454 JURONG WEST ST 42,Boon Lay Shopping Centre,0.7609062703673746,3
17A TELOK BLANGAH CRES,IMM,1.1741741002553923,4
716 BEDOK RESERVOIR RD,Djitsun Mall,1.4013103492308956,4
139B LOR 1A TOA PAYOH,HDB Hub,0.6139391619437741,6
148 WOODLANDS ST 13,Marsiling Mall,0.683129539197147,2
102 ANG MO KIO AVE 3,Broadway Plaza,0.7441582329464358,2
181 PASIR RIS ST 11,Loyang Point,0.5024681608778944,3
672A KLANG LANE,Tekka Centre,0.33442223015919925,29
13 EUNOS CRES,Singapore Post Centre (Singpost Centre),1.059569065443851,6
494 JURONG WEST ST 41,Boon Lay Shopping Centre,1.4271615785808098,2
233 COMPASSVALE WALK,Rivervale Mall,0.48752885980251437,7
974 JURONG WEST ST 93,Pioneer Mall,0.4692385979553424,3
435 YISHUN AVE 6,Wisteria Mall,0.7670111961292678,3
633 BEDOK RESERVOIR RD,Singapore Post Centre (Singpost Centre),1.7249090568310894,3
899B WOODLANDS DR 50,888 Plaza,0.11029972874529605,5
842 TAMPINES ST 82,Our Tampines Hub,0.5653417475587218,4
307B ANG MO KIO AVE 1,AMK Hub,0.580849342333027,3
142 BISHAN ST 12,Junction 8,0.760278401607835,2
12 UPP BOON KENG RD,Aperia,0.828370377343595,5
