flat,hawker,hawker_dist,num_hawker_2km
4 TOH YI DR,Bukit Timah Market,0.20811843849142433,1
172 YISHUN AVE 7,Chong Pang Market & Food Centre,0.6147411487363922,2
440 HOUGANG AVE 8,Market Street Food Centre,2.3661443974417224,0
346 JURONG EAST ST 31,Market Street Food Centre,0.8344042449164435,4
485 JURONG WEST AVE 1,Blk 505 Jurong West Street 52,0.9892626378517313,4
327C ANCHORVALE RD,Market Street Food Centre,4.101507552729565,0
505 WEST COAST DR,Blk 448 Clementi Ave 3,0.5128663806136118,3
19 JLN MEMBINA,Beo Crescent Market,0.3825932545157349,9
311 HOUGANG AVE 5,Market Street Food Centre,1.218252726295159,2
425 BEDOK NTH RD,Market Street Food Centre,0.47173786264295176,7
212 BOON LAY PL,Blk 505 Jurong West Street 52,0.606590473443865,3
156 YUNG LOH RD,Taman Jurong Market & Food Centre,0.7410617845133972,2
649 PUNGGOL CTRL,Market Street Food Centre,5.300679964194702,0
816 TAMPINES AVE 4,Market Street Food Centre,0.8109790552152837,2
411 HOUGANG AVE 10,Market Street Food Centre,1.951831884142294,2
896A TAMPINES ST 81,Market Street Food Centre,1.375781556570637,2
812 JURONG WEST ST 81,Blk 505 Jurong West Street 52,2.53961692417144,0
520 HOUGANG AVE 6,Market Street Food Centre,1.6115170105794359,2
585 PASIR RIS ST 53,Market Street Food Centre,3.30737621534434,0
437 TAMPINES ST 43,Market Street Food Centre,1.7507718605974023,1
608 BEDOK RESERVOIR RD,Blk 538 Bedok North Street 3,1.3227975899366669,3
482 TAMPINES ST 43,Market Street Food Centre,1.9864205842556872,1
986C JURONG WEST ST 93,Taman Jurong Market & Food Centre,2.8889087039405505,0
352 UBI AVE 1,Blk 4A Eunos Crescent,0.7701215381522603,8
514 HOUGANG AVE 10,Market Street Food Centre,1.4811754701835003,2
308 HOUGANG AVE 5,Market Street Food Centre,1.3751204932136818,2
2 GHIM MOH RD,Blk 20 Ghim Moh Road,0.2152723962705466,5
663 JLN DAMAI,Blk 4A Eunos Crescent,1.6671279181132395,2
457 CHOA CHU KANG AVE 4,Blk 505 Jurong West Street 52,3.765003728198153,0
218 BT BATOK ST 21,Market Street Food Centre,1.8664097864759286,1
41 CIRCUIT RD,Blks 79/79A Circuit Road,0.15978834788886204,6
676A CHOA CHU KANG CRES,Blks 20/21 Marsiling Lane,5.689784826474307,0
877 WOODLANDS AVE 9,Blks 20/21 Marsiling Lane,1.5767479817071148,4
351 TAMPINES ST 33,Market Street Food Centre,2.2040132539340136,0
157 TAMPINES ST 12,Market Street Food Centre,0.586450672728092,1
225 JURONG EAST ST 21,Market Street Food Centre,0.2031223732288541,3
125 HOUGANG AVE 1,Market Street Food Centre,0.741003783269396,2
238 LOR 1 TOA PAYOH,Blk 93 Toa Payoh Lorong 4,0.3055723569739042,3
613 YISHUN ST 61,Chong Pang Market & Food Centre,1.4796102485911335,2
183 JELEBU RD,Bukit Timah Market,4.69222132090093,0
