,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
0,458 ANG MO KIO AVENUE 10 TECK GHEE GRANDEUR SINGAPORE 560458,458,TECK GHEE GRANDEUR,1.366568152,103.85962679999999,103.85962679999999,560458,ANG MO KIO AVENUE 10,TECK GHEE GRANDEUR,30927.79531,38733.6948,458 ANG MO KIO AVE 10
0,124 GEYLANG EAST AVENUE 1 GEYLANG EAST GROVE SINGAPORE 380124,124,GEYLANG EAST GROVE,1.318388638,103.8866757,103.8866757,380124,GEYLANG EAST AVENUE 1,GEYLANG EAST GROVE,33938.12354,33406.29806,124 GEYLANG EAST AVE 1
0,3A UPPER BOON KENG ROAD KALLANG HEIGHTS SINGAPORE 381003,3A,KALLANG HEIGHTS,1.313828129,103.8723808,103.8723808,381003,UPPER BOON KENG ROAD,KALLANG HEIGHTS,32347.24806,32901.99077,3A UPP BOON KENG RD
0,35 DOVER ROAD SINGAPORE 130035,35,NIL,1.299123981,103.7834245,103.7834245,130035,DOVER ROAD,35 DOVER ROAD SINGAPORE 130035,22447.234419999997,31276.102710000003,35 DOVER RD
0,338 TAMPINES STREET 33 HDB-TAMPINES SINGAPORE 520338,338,HDB-TAMPINES,1.351918352,103.9596468,103.9596468,520338,TAMPINES STREET 33,HDB-TAMPINES,42058.915089999995,37114.14413,338 TAMPINES ST 33
1,338 TAMPINES STREET 33 HDB PUBLIC SHELTERS SINGAPORE 520338,338,HDB PUBLIC SHELTERS,1.351918352,103.9596468,103.9596468,520338,TAMPINES STREET 33,HDB PUBLIC SHELTERS,42058.91461,37114.14413,338 TAMPINES ST 33
2,338 TAMPINES STREET 33 LIFE CHAMPS EDUCATION PTE LTD SINGAPORE 520338,338,LIFE CHAMPS EDUCATION PTE LTD,1.3519183419999998,103.9596468,103.9596468,520338,TAMPINES STREET 33,LIFE CHAMPS EDUCATION PTE LTD,42058.9147,37114.14301,338 TAMPINES ST 33
0,336 CLEMENTI AVENUE 2 HDB-CLEMENTI SINGAPORE 120336,336,HDB-CLEMENTI,1.316679432,103.76923120000001,103.76923120000001,120336,CLEMENTI AVENUE 2,HDB-CLEMENTI,20867.68967,33217.33101,336 CLEMENTI AVE 2
0,42 CHAI CHEE STREET PING YI GARDENS SINGAPORE 461042,42,PING YI GARDENS,1.327978774,103.9258048,103.9258048,461042,CHAI CHEE STREET,PING YI GARDENS,38292.77594,34466.85494,42 CHAI CHEE ST
0,110B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822110,110B,HDB-PUNGGOL,1.3956602390000001,103.909627,103.909627,822110,PUNGGOL FIELD,HDB-PUNGGOL,36492.11534,41950.67164,110B PUNGGOL FIELD
0,772 PASIR RIS STREET 71 HDB-PASIR RIS SINGAPORE 510772,772,HDB-PASIR RIS,1.375375847,103.93697370000001,103.93697370000001,510772,PASIR RIS STREET 71,HDB-PASIR RIS,39535.53501,39707.83926,772 PASIR RIS ST 71
0,756 PASIR RIS STREET 71 HDB-PASIR RIS SINGAPORE 510756,756,HDB-PASIR RIS,1.37781592,103.93333259999999,103.93333259999999,510756,PASIR RIS STREET 71,HDB-PASIR RIS,39130.31832,39977.63323,756 PASIR RIS ST 71
0,203 BISHAN STREET 23 HDB-BISHAN SINGAPORE 570203,203,HDB-BISHAN,1.3545367419999998,103.847452,103.847452,570203,BISHAN STREET 23,HDB-BISHAN,29572.885560000002,37403.311369999996,203 BISHAN ST 23
0,647 JURONG WEST STREET 61 HDB-JURONG WEST SINGAPORE 640647,647,HDB-JURONG WEST,1.340111291,103.6973881,103.6973881,640647,JURONG WEST STREET 61,HDB-JURONG WEST,12872.383820000001,35808.6339,647 JURONG WEST ST 61
0,494E TAMPINES STREET 43 TAMPINES ALCOVES SINGAPORE 525494,494E,TAMPINES ALCOVES,1.364215315,103.95351120000001,103.95351120000001,525494,TAMPINES STREET 43,TAMPINES ALCOVES,41376.02443,38473.84801,494E TAMPINES ST 43
0,274B JURONG WEST STREET 25 WENYA SINGAPORE 642274,274B,WENYA,1.3528655530000002,103.7032805,103.7032805,642274,JURONG WEST STREET 25,WENYA,13528.22087,37218.90305,274B JURONG WEST ST 25
0,439A SENGKANG WEST AVENUE FERNVALE COURT SINGAPORE 791439,439A,FERNVALE COURT,1.391875231,103.8778554,103.8778554,791439,SENGKANG WEST AVENUE,FERNVALE COURT,32956.36436,41532.05371,439A SENGKANG WEST AVE
0,107 TECK WHYE LANE HDB-CHOA CHU KANG SINGAPORE 680107,107,HDB-CHOA CHU KANG,1.378055381,103.7535882,103.7535882,680107,TECK WHYE LANE,HDB-CHOA CHU KANG,19127.00711,40004.02667,107 TECK WHYE LANE
0,88 COMMONWEALTH CLOSE COMMONWEALTH HEIGHTS SINGAPORE 140088,88,COMMONWEALTH HEIGHTS,1.304886344,103.7991816,103.7991816,140088,COMMONWEALTH CLOSE,COMMONWEALTH HEIGHTS,24200.86333,31913.2461,88 C'WEALTH CL
0,24 TANGLIN HALT ROAD TANGLIN GROVE SINGAPORE 140024,24,TANGLIN GROVE,1.297677087,103.7996368,103.7996368,140024,TANGLIN HALT ROAD,TANGLIN GROVE,24251.51644,31116.08278,24 TANGLIN HALT RD
0,631 SENJA ROAD HDB-BUKIT PANJANG SINGAPORE 670631,631,HDB-BUKIT PANJANG,1.3866265869999999,103.76025770000001,103.76025770000001,670631,SENJA ROAD,HDB-BUKIT PANJANG,19869.26482,40951.76398,631 SENJA RD
1,631 SENJA ROAD ICHIBAN MONTESSORI KIDDIE KOLLEGE PTE. LTD. SINGAPORE 670631,631,ICHIBAN MONTESSORI KIDDIE KOLLEGE PTE. LTD.,1.3864780669999999,103.7602565,103.7602565,670631,SENJA ROAD,ICHIBAN MONTESSORI KIDDIE KOLLEGE PTE. LTD.,19869.12619,40935.341389999994,631 SENJA RD
0,91 TANGLIN HALT ROAD COMMONWEALTH VIEW SINGAPORE 142091,91,COMMONWEALTH VIEW,1.300727923,103.7994173,103.7994173,142091,TANGLIN HALT ROAD,COMMONWEALTH VIEW,24227.0909,31453.42885,91 TANGLIN HALT RD
