flat,school,school_dist,num_school_2km
19 JLN MEMBINA,Zhangde Primary School,0.11940006426380455,8
311 HOUGANG AVE 5,Holy Innocents' Primary School,0.17525836187134272,9
425 BEDOK NTH RD,Fengshan Primary School,0.3309175198362745,8
212 BOON LAY PL,Corporation Primary School,0.659455718819578,8
156 YUNG LOH RD,Lakeside Primary School,1.231405348273721,3
649 PUNGGOL CTRL,Greendale Primary School,0.2773019577495458,12
816 TAMPINES AVE 4,Junyuan Primary School,0.23365026351049822,11
411 HOUGANG AVE 10,CHIJ Our Lady of the Nativity,0.28028787277481976,13
896A TAMPINES ST 81,Junyuan Primary School,0.7940605459435578,6
812 JURONG WEST ST 81,Pioneer Primary School,0.28898382495121905,9
520 HOUGANG AVE 6,Montfort Junior School,0.10098455643481503,13
585 PASIR RIS ST 53,Elias Park Primary School,0.24663009578844686,7
437 TAMPINES ST 43,Tampines North Primary School,0.305736979622867,13
608 BEDOK RESERVOIR RD,Telok Kurau Primary School,0.22974287127482776,6
482 TAMPINES ST 43,Tampines North Primary School,0.4640460007034971,11
986C JURONG WEST ST 93,Jurong West Primary School,0.43926771547247956,7
352 UBI AVE 1,Maha Bodhi School,0.41629072112574755,8
514 HOUGANG AVE 10,Montfort Junior School,0.20884066382599964,12
308 HOUGANG AVE 5,Holy Innocents' Primary School,0.23071229394805162,10
2 GHIM MOH RD,Henry Park Primary School,0.5706297352862774,2
663 JLN DAMAI,Telok Kurau Primary School,0.5168770598261743,5
457 CHOA CHU KANG AVE 4,Concord Primary School,0.1964487272918902,4
218 BT BATOK ST 21,Bukit View Primary School,0.16391102576429054,7
41 CIRCUIT RD,Canossa Catholic Primary School,0.507815143680887,8
676A CHOA CHU KANG CRES,Unity Primary School,0.09721697081442629,4
877 WOODLANDS AVE 9,Evergreen Primary School,0.37490747178731354,10
351 TAMPINES ST 33,East Spring Primary School,0.14167665450044753,8
157 TAMPINES ST 12,Tampines Primary School,0.17194842452880904,10
225 JURONG EAST ST 21,Yuhua Primary School,0.420976883045248,6
125 HOUGANG AVE 1,Xinghua Primary School,0.7439410010223566,4
238 LOR 1 TOA PAYOH,First Toa Payoh Primary School,0.4568348253684505,9
613 YISHUN ST 61,Naval Base Primary School,0.5729114114678426,10
183 JELEBU RD,West View Primary School,0.5050854065489663,9
443 HOUGANG AVE 8,Punggol Primary School,0.2232551666431786,16
107 TOWNER RD,Hong Wen School,0.3869200008893186,4
662 CHOA CHU KANG CRES,Unity Primary School,0.4481990276878458,4
986B BUANGKOK CRES,Hougang Primary School,0.4820672670409596,14
415 TAMPINES ST 41,Tampines North Primary School,0.2582760806608403,12
972 HOUGANG ST 91,Hougang Primary School,0.19529764811001743,13
158 WOODLANDS ST 13,Marsiling Primary School,0.12796689298789612,7
136 BT BATOK WEST AVE 6,Princess Elizabeth Primary School,0.4689615309624754,8
232 ANG MO KIO AVE 3,Ang Mo Kio Primary School,0.22131767464631194,9
108 LOR 1 TOA PAYOH,Kheng Cheng School,0.4612458496737476,9
756 CHOA CHU KANG NTH 5,Kranji Primary School,0.24917295626178987,9
572 PASIR RIS ST 53,Elias Park Primary School,0.16972836630083143,8
855 JURONG WEST ST 81,Pioneer Primary School,0.24752326882373807,9
619 JURONG WEST ST 65,Jurong West Primary School,0.27509586536130715,9
418 BEDOK NTH AVE 2,Fengshan Primary School,0.283274384261503,7
516 WEST COAST RD,Qifa Primary School,0.6221272044102348,4
313 TAMPINES ST 33,East Spring Primary School,0.5624368047372822,10
411 SAUJANA RD,Greenridge Primary School,0.307890998563447,8
530 ANG MO KIO AVE 10,Jing Shan Primary School,0.39633174731642995,7
618 WOODLANDS AVE 4,Woodlands Ring Primary School,0.18254083717892147,10
484 ADMIRALTY LINK,Northoaks Primary School,0.19422058531933983,6
205 TAMPINES ST 21,Yumin Primary School,0.14168002350461348,11
133 YISHUN ST 11,Ahmad Ibrahim Primary School,0.26864180383957853,10
412A FERNVALE LINK,Fernvale Primary School,0.43146358212170893,10
59 MARINE TER,Ngee Ann Primary School,0.33852220235033875,5
454 JURONG WEST ST 42,Rulang Primary School,0.4781551139266361,7
17A TELOK BLANGAH CRES,Radin Mas Primary School,0.39224239138454164,7
716 BEDOK RESERVOIR RD,Damai Primary School,0.49563418440147006,7
139B LOR 1A TOA PAYOH,Kheng Cheng School,0.43893579234965,9
148 WOODLANDS ST 13,Marsiling Primary School,0.15267605564308298,7
102 ANG MO KIO AVE 3,Ang Mo Kio Primary School,0.17710276217213455,10
181 PASIR RIS ST 11,White Sands Primary School,0.13075391166645617,8
672A KLANG LANE,Farrer Park Primary School,0.48002473216603425,4
13 EUNOS CRES,Eunos Primary School,0.211817321444459,6
494 JURONG WEST ST 41,Shuqun Primary School,0.4303812903168503,9
233 COMPASSVALE WALK,Seng Kang Primary School,0.15319480071089733,19
974 JURONG WEST ST 93,Juying Primary School,0.6101714707594083,7
435 YISHUN AVE 6,Huamin Primary School,0.7136330724015771,9
633 BEDOK RESERVOIR RD,Maha Bodhi School,0.4657633155802545,5
