flat,mrt,mrt_dist,num_mrt_2km
758 YISHUN ST 72,YISHUN MRT STATION,0.38629474126697416,2
273C JURONG WEST AVE 3,BOON LAY MRT STATION,1.4811303812662828,2
4 TOH YI DR,BEAUTY WORLD MRT STATION,0.3300275191974795,2
172 YISHUN AVE 7,YISHUN MRT STATION,0.9034060085388818,2
440 HOUGANG AVE 8,BUANGKOK MRT STATION,0.4167312934913704,12
346 JURONG EAST ST 31,CHINESE GARDEN MRT STATION,0.40418745673899376,4
485 JURONG WEST AVE 1,LAKESIDE MRT STATION,0.8307219927193065,2
327C ANCHORVALE RD,FARMWAY LRT STATION,0.13478844316468255,19
505 WEST COAST DR,CLEMENTI MRT STATION,0.6636741873778673,1
19 JLN MEMBINA,TIONG BAHRU MRT STATION,0.10777744619273213,5
311 HOUGANG AVE 5,HOUGANG MRT STATION,0.6803905527911132,3
425 BEDOK NTH RD,BEDOK MRT STATION,0.6041546816514096,4
212 BOON LAY PL,LAKESIDE MRT STATION,1.0364889361916452,2
156 YUNG LOH RD,LAKESIDE MRT STATION,1.8119331411971,1
649 PUNGGOL CTRL,KADALOOR LRT STATION,0.31136519543605906,14
816 TAMPINES AVE 4,TAMPINES WEST MRT STATION,0.26005049855378143,5
411 HOUGANG AVE 10,HOUGANG MRT STATION,0.45132228765260735,10
896A TAMPINES ST 81,TAMPINES WEST MRT STATION,0.7359891354142323,4
812 JURONG WEST ST 81,PIONEER MRT STATION,0.9786444244680198,2
520 HOUGANG AVE 6,HOUGANG MRT STATION,0.3251952847621666,7
585 PASIR RIS ST 53,PASIR RIS MRT STATION,0.34254019093330107,1
437 TAMPINES ST 43,TAMPINES EAST MRT STATION,0.5353778735138983,5
608 BEDOK RESERVOIR RD,BEDOK NORTH MRT STATION,0.619204130273616,5
482 TAMPINES ST 43,TAMPINES EAST MRT STATION,0.6272108774418512,4
986C JURONG WEST ST 93,PIONEER MRT STATION,0.20060032039505113,2
352 UBI AVE 1,UBI MRT STATION,0.5233217437118077,10
514 HOUGANG AVE 10,HOUGANG MRT STATION,0.3644668601202259,7
308 HOUGANG AVE 5,HOUGANG MRT STATION,0.6231189343541061,4
2 GHIM MOH RD,BUONA VISTA MRT STATION,0.6777405840665399,6
663 JLN DAMAI,KAKI BUKIT MRT STATION,0.03782140883090064,5
457 CHOA CHU KANG AVE 4,SOUTH VIEW LRT STATION,1.0326116865718298,5
218 BT BATOK ST 21,BUKIT BATOK MRT STATION,0.5474511079340221,2
41 CIRCUIT RD,MATTAR MRT STATION,0.3395296659337405,11
676A CHOA CHU KANG CRES,YEW TEE MRT STATION,0.5007347009250172,3
877 WOODLANDS AVE 9,WOODLANDS MRT STATION,1.0586234893352173,4
351 TAMPINES ST 33,TAMPINES EAST MRT STATION,1.007870847000293,5
157 TAMPINES ST 12,TAMPINES MRT STATION,0.2466922110195206,5
225 JURONG EAST ST 21,CHINESE GARDEN MRT STATION,0.518810586628758,5
125 HOUGANG AVE 1,KOVAN MRT STATION,0.8739391935526435,5
238 LOR 1 TOA PAYOH,BRADDELL MRT STATION,0.5327930122221594,7
613 YISHUN ST 61,KHATIB MRT STATION,0.39211847050540505,2
183 JELEBU RD,BUKIT PANJANG MRT STATION,0.19721242260335026,15
443 HOUGANG AVE 8,BUANGKOK MRT STATION,0.37582589270597655,12
107 TOWNER RD,BOON KENG MRT STATION,0.16183338108018086,12
662 CHOA CHU KANG CRES,YEW TEE MRT STATION,0.5741618664442895,3
986B BUANGKOK CRES,TONGKANG LRT STATION,1.007159896546108,12
415 TAMPINES ST 41,TAMPINES MRT STATION,0.6531207529691077,6
972 HOUGANG ST 91,TONGKANG LRT STATION,1.4221590772676669,6
158 WOODLANDS ST 13,MARSILING MRT STATION,0.18455607217714332,4
136 BT BATOK WEST AVE 6,BUKIT BATOK MRT STATION,0.5656516999568485,5
232 ANG MO KIO AVE 3,ANG MO KIO MRT STATION,1.3863926747236954,2
108 LOR 1 TOA PAYOH,BRADDELL MRT STATION,0.13187550580505697,6
756 CHOA CHU KANG NTH 5,YEW TEE MRT STATION,0.5911778199879941,6
572 PASIR RIS ST 53,PASIR RIS MRT STATION,0.40712677811025744,1
855 JURONG WEST ST 81,PIONEER MRT STATION,1.040140259005901,2
619 JURONG WEST ST 65,PIONEER MRT STATION,0.5184994947182615,2
418 BEDOK NTH AVE 2,BEDOK MRT STATION,0.5069760177045373,4
516 WEST COAST RD,CLEMENTI MRT STATION,0.9257852508559163,1
313 TAMPINES ST 33,TAMPINES EAST MRT STATION,0.5035211253679616,6
411 SAUJANA RD,FAJAR LRT STATION,0.3954087948513211,13
530 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.7078107848798445,2
618 WOODLANDS AVE 4,WOODLANDS SOUTH MRT STATION,0.7704637393177342,4
484 ADMIRALTY LINK,SEMBAWANG MRT STATION,1.031982621051747,1
205 TAMPINES ST 21,TAMPINES EAST MRT STATION,0.5752142410453349,6
133 YISHUN ST 11,YISHUN MRT STATION,0.5823855532554557,2
412A FERNVALE LINK,FERNVALE LRT STATION,0.34391146783431864,11
59 MARINE TER,KEMBANGAN MRT STATION,1.6906539122015425,1
454 JURONG WEST ST 42,LAKESIDE MRT STATION,0.8279689643205301,3
17A TELOK BLANGAH CRES,TIONG BAHRU MRT STATION,1.1456940852909578,5
716 BEDOK RESERVOIR RD,BEDOK RESERVOIR MRT STATION,0.8164772152233177,5
139B LOR 1A TOA PAYOH,CALDECOTT MRT STATION,0.4957022110272635,8
148 WOODLANDS ST 13,MARSILING MRT STATION,0.3592459429829954,4
102 ANG MO KIO AVE 3,ANG MO KIO MRT STATION,1.1315952344341045,2
181 PASIR RIS ST 11,TAMPINES EAST MRT STATION,1.1247216061155823,2
672A KLANG LANE,ROCHOR MRT STATION,0.37331408837319985,26
13 EUNOS CRES,EUNOS MRT STATION,0.3228850769011138,8
494 JURONG WEST ST 41,LAKESIDE MRT STATION,0.7264659378288421,2
233 COMPASSVALE WALK,COMPASSVALE LRT STATION,0.5041235680861021,21
974 JURONG WEST ST 93,PIONEER MRT STATION,0.5086539761691028,2
435 YISHUN AVE 6,YISHUN MRT STATION,1.6342671169696672,2
633 BEDOK RESERVOIR RD,KAKI BUKIT MRT STATION,0.6201451552717082,9
899B WOODLANDS DR 50,ADMIRALTY MRT STATION,0.8058952354563478,4
842 TAMPINES ST 82,TAMPINES WEST MRT STATION,0.7404090113141157,4
307B ANG MO KIO AVE 1,ANG MO KIO MRT STATION,0.7106601103217633,5
142 BISHAN ST 12,BISHAN MRT STATION,0.8003742205720236,7
12 UPP BOON KENG RD,KALLANG MRT STATION,0.33666325183760104,12
178 EDGEFIELD PLAINS,COVE LRT STATION,0.27752330145519416,23
132 CLARENCE LANE,REDHILL MRT STATION,0.34688646273235163,3
288D BT BATOK ST 25,BUKIT BATOK MRT STATION,1.133930058276779,3
174C EDGEDALE PLAINS,MERIDIAN LRT STATION,0.16671032266154479,21
229 PASIR RIS ST 21,PASIR RIS MRT STATION,1.396352973704949,2
35 JLN RUMAH TINGGI,QUEENSTOWN MRT STATION,0.8292906853726508,5
335 TAMPINES ST 32,TAMPINES EAST MRT STATION,0.7817569588762551,7
410A FERNVALE RD,FERNVALE LRT STATION,0.20652773131677074,7
325 CLEMENTI AVE 5,CLEMENTI MRT STATION,0.17738800576718616,2
584 WOODLANDS DR 16,WOODLANDS SOUTH MRT STATION,0.27492295732690963,4
653C JURONG WEST ST 61,PIONEER MRT STATION,0.2435934092319589,2
31 HOLLAND CL,COMMONWEALTH MRT STATION,0.5267264001530877,7
360 BT BATOK ST 31,BUKIT GOMBAK MRT STATION,0.2925988912565893,6
915 HOUGANG ST 91,HOUGANG MRT STATION,1.2001762055746954,8
141 PASIR RIS ST 11,TAMPINES EAST MRT STATION,0.9960250056559897,3
312 TAMPINES ST 33,TAMPINES EAST MRT STATION,0.4977402546538301,6
617C PUNGGOL DR,OASIS LRT STATION,0.046660324678495346,19
177 WOODLANDS ST 13,MARSILING MRT STATION,0.4894314902873753,4
328 SERANGOON AVE 3,SERANGOON MRT STATION,0.44697569709140683,5
188B RIVERVALE DR,RUMBIA LRT STATION,0.34411266610817515,23
239 LOR 1 TOA PAYOH,BRADDELL MRT STATION,0.47260766986590436,7
724 JURONG WEST ST 72,PIONEER MRT STATION,0.834864611309563,2
218 PETIR RD,PENDING LRT STATION,0.3177091950347533,13
58 STRATHMORE AVE,QUEENSTOWN MRT STATION,0.5793573642933728,4
310 TAMPINES ST 32,TAMPINES EAST MRT STATION,0.4113386979396969,5
662 YISHUN AVE 4,KHATIB MRT STATION,0.9069855881358655,2
894B WOODLANDS DR 50,WOODLANDS MRT STATION,0.19782191639362565,5
128 RIVERVALE ST,RUMBIA LRT STATION,0.3789645880841101,22
750 WOODLANDS AVE 4,ADMIRALTY MRT STATION,0.8983028179543181,4
326 TAMPINES ST 32,TAMPINES EAST MRT STATION,0.59812958682102,6
79 MARINE DR,EUNOS MRT STATION,2.0808680055223348,0
309 CANBERRA RD,SEMBAWANG MRT STATION,0.30434483886456476,1
805 CHAI CHEE RD,BEDOK MRT STATION,0.9281132877288347,5
103 SPOTTISWOODE PK RD,OUTRAM PARK MRT STATION,0.7394442566440671,10
980 JURONG WEST ST 93,PIONEER MRT STATION,0.44387931326820035,2
82 STRATHMORE AVE,QUEENSTOWN MRT STATION,0.3201790629827236,3
588C ANG MO KIO ST 52,ANG MO KIO MRT STATION,0.5040206965831076,2
106 LENGKONG TIGA,KEMBANGAN MRT STATION,0.5532910229704726,5
212B COMPASSVALE DR,KANGKAR LRT STATION,0.3022025727347988,17
112 YISHUN RING RD,YISHUN MRT STATION,0.8434451368049446,3
585 WOODLANDS DR 16,WOODLANDS SOUTH MRT STATION,0.293365323895514,4
669 HOUGANG AVE 8,HOUGANG MRT STATION,0.9479711127954266,6
420 FAJAR RD,FAJAR LRT STATION,0.14642929771268884,13
350 UBI AVE 1,UBI MRT STATION,0.5131186273981817,9
122B SENGKANG EAST WAY,BAKAU LRT STATION,0.16113254239967117,17
703 WOODLANDS DR 40,ADMIRALTY MRT STATION,0.4937679789947406,4
256 BISHAN ST 22,ANG MO KIO MRT STATION,1.2214248817270437,4
504 BEDOK NTH ST 3,BEDOK RESERVOIR MRT STATION,0.5231698309775122,5
626 CHOA CHU KANG ST 62,YEW TEE MRT STATION,0.1931718128614138,4
547 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,1.0731245733028907,2
195E PUNGGOL RD,COVE LRT STATION,0.30249986970967074,22
319 UBI AVE 1,UBI MRT STATION,0.5196568952139731,10
288 CHOA CHU KANG AVE 3,SOUTH VIEW LRT STATION,0.5005482380487486,6
277B COMPASSVALE LINK,BUANGKOK MRT STATION,0.1675856744587518,14
881 TAMPINES ST 84,TAMPINES WEST MRT STATION,0.9779981020538588,4
133 SIMEI ST 1,SIMEI MRT STATION,0.5238501463625441,8
89 TANGLIN HALT RD,COMMONWEALTH MRT STATION,0.15275444734590207,7
310 SHUNFU RD,MARYMOUNT MRT STATION,0.25109674370958984,5
296 CHOA CHU KANG AVE 2,SOUTH VIEW LRT STATION,0.5969984218716696,6
857 WOODLANDS ST 83,ADMIRALTY MRT STATION,0.7781107957356334,4
496D TAMPINES AVE 9,TAMPINES EAST MRT STATION,0.7900522124331844,4
556 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.9278086506949214,2
395 TAMPINES AVE 7,TAMPINES EAST MRT STATION,0.16523443891322645,5
